T_FD[K],N_FD
4.05548564438321e-5,9699151.15702765
4.0541273031587e-5,9698704.17922936
4.0527709958273e-5,9698257.79643329
4.05141671326903e-5,9697812.00579528
4.05006444631609e-5,9697366.80445074
4.04871418582367e-5,9696922.18954041
4.04736592281126e-5,9696478.15826184
4.04601964832082e-5,9696034.70781775
4.04467535341673e-5,9695591.83541608
4.04333302925622e-5,9695149.53829563
4.04199266701859e-5,9694707.81370033
4.04065425797558e-5,9694266.65890486
4.03931779342065e-5,9693826.07118895
4.03798326466892e-5,9693386.04783732
4.03665066312738e-5,9692946.58616537
4.03531998029465e-5,9692507.68351902
4.03399120769041e-5,9692069.3372491
4.03266433678508e-5,9691631.54468568
4.0313393592807e-5,9691194.30324049
4.03001626675951e-5,9690757.61027886
4.02869505096469e-5,9690321.46322205
4.02737570365974e-5,9689885.85949604
4.02605821662841e-5,9689450.79653148
4.02474258174463e-5,9689016.27178926
4.02342879090224e-5,9688582.28273486
4.02211683608483e-5,9688148.82686389
4.02080670922578e-5,9687715.90165101
4.01949840241779e-5,9687283.5046264
4.01819190777287e-5,9686851.63332473
4.01688721735255e-5,9686420.28525965
4.01558432344676e-5,9685989.45802567
4.01428321822488e-5,9685559.14917073
4.01298389394495e-5,9685129.35627262
4.01168634295337e-5,9684700.07693892
4.01039055761508e-5,9684271.30878148
4.00909653031354e-5,9683843.04941646
4.0078042535895e-5,9683415.29651504
4.00651371986296e-5,9682988.04770181
4.00522492171092e-5,9682561.30065636
4.00393785165897e-5,9682135.05303704
4.00265250238926e-5,9681709.30255706
4.00136886653233e-5,9681284.04690839
4.00008693687479e-5,9680859.28383771
3.99880670608228e-5,9680435.01104511
3.99752816697628e-5,9680011.22628534
3.99625131239543e-5,9679587.92731713
3.99497613526455e-5,9679165.11192845
3.99370262845641e-5,9678742.77788592
3.99243078492973e-5,9678320.92298533
3.99116059766003e-5,9677899.54502639
3.98989205970844e-5,9677478.64183789
3.98862516415261e-5,9677058.21125245
3.98735990408666e-5,9676638.25110649
3.98609627268983e-5,9676218.75926542
3.98483426308889e-5,9675799.73357322
3.9835738685642e-5,9675381.17192797
3.98231508241204e-5,9674963.07223145
3.98105789794456e-5,9674545.4323891
3.97980230842114e-5,9674128.25028484
3.97854830732263e-5,9673711.52388172
